,Smiles,Property,Value,Units
634,C=CC(C)C,Preferred Calculated Density,0.85,g mL-1
635,FC(=C(F)F)F,Density,2.00 - 2.18,g mL-1
636,FC(=C(F)F)F,Preferred Density,2.12,g mL-1
637,FC(=C(F)F)F,Calculated Density,1.93 - 2.23,g mL-1
638,FC(=C(F)F)F,Preferred Calculated Density,2.1,g mL-1
639,CCCOC(=O)C=C,Density,1.11,g mL-1
640,CCCOC(=O)C=C,Calculated Density,1.09 - 1.13,g mL-1
641,CCCOC(=O)C=C,Preferred Calculated Density,1.12,g mL-1
642,CC(c1ccc(cc1)OCC1OC1)(c1ccc(cc1)OCC1OC1)C.NCCN,Calculated Density,1.13 - 1.15,g mL-1
643,CC(c1ccc(cc1)OCC1OC1)(c1ccc(cc1)OCC1OC1)C.NCCN,Preferred Calculated Density,1.14,g mL-1
644,CCOC(=O)C(=C)C,Density,1.11 - 1.12,g mL-1
645,CCOC(=O)C(=C)C,Preferred Density,1.12,g mL-1
646,CCOC(=O)C(=C)C,Calculated Density,1.11 - 1.14,g mL-1
647,CCOC(=O)C(=C)C,Preferred Calculated Density,1.12,g mL-1
648,CCCCCCCCCCCCOC(=O)C(=C)C,Density,0.93,g mL-1
649,CCCCCCCCCCCCOC(=O)C(=C)C,Calculated Density,0.95 - 0.99,g mL-1
650,CCCCCCCCCCCCOC(=O)C(=C)C,Preferred Calculated Density,0.97,g mL-1
651,CCCCCCCCOC=C,Density,0.91,g mL-1
652,CCCCCCCCOC=C,Calculated Density,0.90 - 0.96,g mL-1
653,CCCCCCCCOC=C,Preferred Calculated Density,0.92,g mL-1
654,CCOC(=O)C=C,Density,1.12,g mL-1
655,CCOC(=O)C=C,Calculated Density,1.14 - 1.19,g mL-1
656,CCOC(=O)C=C,Preferred Calculated Density,1.16,g mL-1
657,OC(=O)c1ccc(cc1)C(=O)O.OCCCO,Density,1.33 - 1.35,g mL-1
658,OC(=O)c1ccc(cc1)C(=O)O.OCCCO,Preferred Density,1.34,g mL-1
659,OC(=O)c1ccc(cc1)C(=O)O.OCCCO,Calculated Density,1.27 - 1.36,g mL-1
660,OC(=O)c1ccc(cc1)C(=O)O.OCCCO,Preferred Calculated Density,1.31,g mL-1
661,COC(=O)/C=C/C(=O)OC,Density,1.25,g mL-1
662,COC(=O)/C=C/C(=O)OC,Calculated Density,1.31 - 1.39,g mL-1
663,COC(=O)/C=C/C(=O)OC,Preferred Calculated Density,1.34,g mL-1
664,OC(=O)c1cccc(c1)C(=O)O.OCCO,Density,1.33 - 1.34,g mL-1
665,OC(=O)c1cccc(c1)C(=O)O.OCCO,Preferred Density,1.335,g mL-1
666,OC(=O)c1cccc(c1)C(=O)O.OCCO,Calculated Density,1.31 - 1.43,g mL-1
667,OC(=O)c1cccc(c1)C(=O)O.OCCO,Preferred Calculated Density,1.36,g mL-1
668,OC(=O)CCCCC(=O)O.OCCCCO,Density,1.02 - 1.12,g mL-1
669,OC(=O)CCCCC(=O)O.OCCCCO,Preferred Density,1.12,g mL-1
670,OC(=O)CCCCC(=O)O.OCCCCO,Calculated Density,1.17 - 1.19,g mL-1
671,OC(=O)CCCCC(=O)O.OCCCCO,Preferred Calculated Density,1.18,g mL-1
672,NCCCCCCN.OC(=O)CCCCCCCCCCC(=O)O,Density,1.06,g mL-1
673,NCCCCCCN.OC(=O)CCCCCCCCCCC(=O)O,Calculated Density,1.00 - 1.02,g mL-1
674,NCCCCCCN.OC(=O)CCCCCCCCCCC(=O)O,Preferred Calculated Density,1.01,g mL-1
675,"C[Si](c1ccccc1)(Cl)Cl, CO[Si](C)(c1ccccc1)OC",Density,1.05 - 1.12,g mL-1
676,"C[Si](c1ccccc1)(Cl)Cl, CO[Si](C)(c1ccccc1)OC",Preferred Density,1.09,g mL-1
677,CC(=C)C(=O)NC(C)(C)C,Density,1.02,g mL-1
678,CC(=C)C(=O)NC(C)(C)C,Calculated Density,1.01 - 1.03,g mL-1
